"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"1042_at","3.25746048341731","3.30497263222729","3.25310086711703","3.31905385711519","3.41348177041122","3.28460042299923","3.31276106585082","3.2251104754689","-0.0253414737133389","-0.0525401604303395","0.0963610882601293","0.811640914240622","0.440904368734863","0.479239335051959","1","1","1"
"1043_s_at","3.35176744939687","3.41030840733432","3.38223400302504","3.50785471926352","3.4020691589097","3.43597123708809","3.47798503814086","3.31044710560784","0.00642300981831201","0.0531912164296651","-0.0454493256029891","0.945822498484377","0.381376900523713","0.706291761768274","1","1","1"
"1044_s_at","5.02128545652831","5.23564812769076","4.93576727335218","5.00531070134909","4.85595743240573","5.013409619301","4.64498562604493","4.92006825118157","0.19089765749678","-0.14824499476847","0.125453623184666","0.0680078369231802","0.0288847901626695","0.332158527077331","0.98538516582458","0.205139963887326","1"
"1045_s_at","3.91031937257423","3.97800244673766","4.03239910089993","4.0178387824889","3.9148587712337","3.94679561482424","4.09275551411599","4.01290321372794","-0.00718835280028762","0.149988235603991","-0.0558170145565908","0.952311269808473","0.0606604572168385","0.71587581355327","1","0.376888913564265","1"
"1046_at","4.66025058234607","4.6465959100168","4.83601822927164","4.68752176578328","5.04745987942581","4.76683157769508","5.52147543000314","5.04646157887103","-0.387960494644321","0.324891598751453","-0.298247903651755","0.00323122268110928","0.000269273385917456","0.0579311978720024","0.15016264913744","0.00366992784873108","1"
"1047_s_at","6.28883783895823","6.2660384556562","6.83288734206076","6.31001576336094","6.39577380992432","6.45121862271262","6.6730691152319","6.34374557817813","-0.0415069315027075","0.410672404205057","0.266754197794958","0.539834945661785","3.49157542523232e-09","0.00490501294323133","1","1.9755100471878e-07","0.447656301746715"
"1048_at","4.93603237225346","6.3697482343372","4.67645527019307","4.93319992128904","4.7155024344973","5.61536278468255","4.55380813744129","4.77171419376005","0.314762061922893","-0.210635699558197","-0.0978828050043719","0.21353615555182","0.192085588454727","0.757234245041412","1","0.939710883844329","1"
"1049_g_at","7.07650048924439","7.9221367372375","6.96125293161801","7.1008613420582","7.06709723781374","7.65322212459322","6.83302051208945","6.99941040784673","0.12700030445374","-0.174662141675336","0.118829168097909","0.431107074387708","0.0977128402723754","0.56172033137258","1","0.553857202232298","1"
"105_at","4.39872887125307","4.38798292220491","4.33460967248629","4.37592302444814","4.28470862277322","4.31336743159128","4.21112910973236","4.25241666383685","0.108905665614676","-0.0688493559038164","0.00946031427407323","0.272468903945075","0.275943815364476","0.939467026061882","1","1","1"
"1050_at","2.94957441897083","2.98817678227102","2.94092262664826","2.95547856707343","2.8985513458971","2.87224816831937","2.80066394796185","2.790563782102","0.118031287670805","-0.0532695951289088","0.0892356056126871","0.200577310727759","0.35972521106067","0.441622466009164","1","1","1"
"1051_g_at","5.3493056755085","5.33225038884737","5.38390054434551","5.27746649594018","5.14778944404584","5.22820714873245","5.24572393044234","5.08863324328632","0.158142334533654","0.0662646776167515","-0.0633396175595013","0.0642278539231567","0.212727113139197","0.545651518886954","0.953391923723777","1","1"
"1052_s_at","6.41049595345905","6.73246689196418","5.46478801128345","6.47374304884686","6.26944135925773","6.30193376824657","5.27685787481249","6.40862024064657","0.206160165647544","-0.969145713310415","0.0468755422696372","0.587512736180576","0.000557137446406677","0.9225993538664","1","0.00696421808008346","1"
"1053_at","5.39197512705671","5.36220625473708","5.49598023616711","5.44122374254267","5.29344563502697","5.33764087437363","5.36741467286755","5.27504142022253","0.104460689503223","0.0889870734754936","0.0300360712698264","0.257336224030813","0.134353196403735","0.795241369477472","1","0.711596603802471","1"
"1054_at","4.74788601383915","4.78573253564253","4.65695551514519","4.7477230847482","4.56578702866291","4.48272847589299","4.54606220963159","4.41033548471133","0.233345987619066","-0.055327658862641","-0.0712056796626399","0.0131253842542438","0.32450390275898","0.523224896377463","0.376894563024628","1","1"
"1055_g_at","4.86679285472696","4.68523427629011","5.21199101700254","4.85394505648504","4.60247852073415","4.56076903759956","5.19426787319724","4.4535270450525","0.201730181980303","0.468493757369331","-0.246591190187511","0.0379087919530771","7.16108019196381e-08","0.0455263451471434","0.720568847061115","2.66168706840657e-06","1"
